Area,Item,Year,Value
Asia,"Meat indigenous, sheep",1988,1775983
Asia,"Meat indigenous, sheep",1989,1899841
Asia,"Meat indigenous, sheep",1990,1987080
Asia,"Meat indigenous, sheep",1991,2071725
Asia,"Meat indigenous, sheep",1992,2536590
Asia,"Meat indigenous, sheep",1993,2673043
Asia,"Meat indigenous, sheep",1994,2793454
Asia,"Meat indigenous, sheep",1995,2889090
Asia,"Meat indigenous, sheep",1996,2859131
Asia,"Meat indigenous, sheep",1997,3050067
Asia,"Meat indigenous, sheep",1998,3146079
Asia,"Meat indigenous, sheep",1999,3229886
Asia,"Meat indigenous, sheep",2000,3433472
Asia,"Meat indigenous, sheep",2001,3430084
Asia,"Meat indigenous, sheep",2002,3594161
Asia,"Meat indigenous, sheep",2003,3615543
Asia,"Meat indigenous, sheep",2004,3712526
Asia,"Meat indigenous, sheep",2005,3810704
Asia,"Meat indigenous, sheep",2006,3928591
Asia,"Meat indigenous, sheep",2007,4065071
Asia,"Meat indigenous, sheep",2008,3933898
Asia,"Meat indigenous, sheep",2009,3966700
Asia,"Meat indigenous, sheep",2010,3930342
Asia,"Meat indigenous, sheep",2011,3962918
Asia,"Meat indigenous, sheep",2012,4022138
Asia,"Meat indigenous, sheep",2013,4107429
Europe,"Meat indigenous, cattle",1961,9743297
Europe,"Meat indigenous, cattle",1962,10560675
Europe,"Meat indigenous, cattle",1963,11080430
Europe,"Meat indigenous, cattle",1964,10616211
Europe,"Meat indigenous, cattle",1965,10917157
Europe,"Meat indigenous, cattle",1966,12005826
Europe,"Meat indigenous, cattle",1967,13304686
Europe,"Meat indigenous, cattle",1968,14011498
Europe,"Meat indigenous, cattle",1969,14146007
Europe,"Meat indigenous, cattle",1970,14242322
Europe,"Meat indigenous, cattle",1971,14441710
Europe,"Meat indigenous, cattle",1972,14001451
Europe,"Meat indigenous, cattle",1973,14463885
Europe,"Meat indigenous, cattle",1974,16432335
Europe,"Meat indigenous, cattle",1975,16829938
Europe,"Meat indigenous, cattle",1976,16714093
Europe,"Meat indigenous, cattle",1977,16874086
Europe,"Meat indigenous, cattle",1978,17192036
Europe,"Meat indigenous, cattle",1979,17488352
Europe,"Meat indigenous, cattle",1980,17511343
Europe,"Meat indigenous, cattle",1981,17071919
Europe,"Meat indigenous, cattle",1982,16898333
Europe,"Meat indigenous, cattle",1983,17530011
Europe,"Meat indigenous, cattle",1984,18453271
Europe,"Meat indigenous, cattle",1985,18549137
Europe,"Meat indigenous, cattle",1986,19151254
Europe,"Meat indigenous, cattle",1987,19654668
Europe,"Meat indigenous, cattle",1988,19329274
Europe,"Meat indigenous, cattle",1989,19322817
Europe,"Meat indigenous, cattle",1990,20024856
Europe,"Meat indigenous, cattle",1991,19861976
Europe,"Meat indigenous, cattle",1992,17198395
Europe,"Meat indigenous, cattle",1993,15850694
Europe,"Meat indigenous, cattle",1994,15099309
Europe,"Meat indigenous, cattle",1995,14242713
Europe,"Meat indigenous, cattle",1996,13792241
Europe,"Meat indigenous, cattle",1997,13272463
Europe,"Meat indigenous, cattle",1998,12715487
Europe,"Meat indigenous, cattle",1999,12288734
Europe,"Meat indigenous, cattle",2000,11915053
Europe,"Meat indigenous, cattle",2001,11489795
Europe,"Meat indigenous, cattle",2002,11762441
Europe,"Meat indigenous, cattle",2003,11764472
Europe,"Meat indigenous, cattle",2004,11647386
Europe,"Meat indigenous, cattle",2005,11192622
Europe,"Meat indigenous, cattle",2006,11133004
Europe,"Meat indigenous, cattle",2007,11134206
Europe,"Meat indigenous, cattle",2008,11136631
Europe,"Meat indigenous, cattle",2009,11004669
Europe,"Meat indigenous, cattle",2010,11232457
Europe,"Meat indigenous, cattle",2011,10982098
Europe,"Meat indigenous, cattle",2012,10592966
Europe,"Meat indigenous, cattle",2013,10424825
Europe,"Meat indigenous, chicken",1961,2686639
Europe,"Meat indigenous, chicken",1962,2866007
Europe,"Meat indigenous, chicken",1963,3062844
Europe,"Meat indigenous, chicken",1964,3117505
Europe,"Meat indigenous, chicken",1965,3384116
Europe,"Meat indigenous, chicken",1966,3512774
Europe,"Meat indigenous, chicken",1967,3699883
Europe,"Meat indigenous, chicken",1968,3876362
Europe,"Meat indigenous, chicken",1969,4258453
Europe,"Meat indigenous, chicken",1970,4842766
Europe,"Meat indigenous, chicken",1971,5073093
Europe,"Meat indigenous, chicken",1972,5480759
Europe,"Meat indigenous, chicken",1973,5858614
Europe,"Meat indigenous, chicken",1974,6104778
Europe,"Meat indigenous, chicken",1975,6387235
Europe,"Meat indigenous, chicken",1976,6639104
Europe,"Meat indigenous, chicken",1977,7181517
Europe,"Meat indigenous, chicken",1978,7596934
Europe,"Meat indigenous, chicken",1979,7974130
Europe,"Meat indigenous, chicken",1980,8266405
Europe,"Meat indigenous, chicken",1981,8684348
Europe,"Meat indigenous, chicken",1982,8807581
Europe,"Meat indigenous, chicken",1983,8825359
Europe,"Meat indigenous, chicken",1984,8929728
Europe,"Meat indigenous, chicken",1985,9152159
Europe,"Meat indigenous, chicken",1986,9454788
Europe,"Meat indigenous, chicken",1987,9944173
Europe,"Meat indigenous, chicken",1988,10178282
Europe,"Meat indigenous, chicken",1989,10169316
Europe,"Meat indigenous, chicken",1990,10201273
Europe,"Meat indigenous, chicken",1991,9862613
Europe,"Meat indigenous, chicken",1992,9048667
Europe,"Meat indigenous, chicken",1993,8765749
Europe,"Meat indigenous, chicken",1994,8768601
Europe,"Meat indigenous, chicken",1995,8673376
Europe,"Meat indigenous, chicken",1996,8837569
Europe,"Meat indigenous, chicken",1997,8869757
Europe,"Meat indigenous, chicken",1998,9365313
Europe,"Meat indigenous, chicken",1999,9329157
Europe,"Meat indigenous, chicken",2000,9464648
Europe,"Meat indigenous, chicken",2001,10106730
Europe,"Meat indigenous, chicken",2002,10416800
Europe,"Meat indigenous, chicken",2003,10141457
Europe,"Meat indigenous, chicken",2004,10365782
Europe,"Meat indigenous, chicken",2005,10878817
Europe,"Meat indigenous, chicken",2006,10824823
Europe,"Meat indigenous, chicken",2007,11597451
Europe,"Meat indigenous, chicken",2008,12036548
Europe,"Meat indigenous, chicken",2009,13278836
Europe,"Meat indigenous, chicken",2010,13872902
Europe,"Meat indigenous, chicken",2011,14574993
Europe,"Meat indigenous, chicken",2012,15513319
Europe,"Meat indigenous, chicken",2013,16072299
Europe,"Meat indigenous, goat",1961,121072
Europe,"Meat indigenous, goat",1962,122152
Europe,"Meat indigenous, goat",1963,116761
Europe,"Meat indigenous, goat",1964,112127
Europe,"Meat indigenous, goat",1965,114891
Europe,"Meat indigenous, goat",1966,108964
Europe,"Meat indigenous, goat",1967,110075
Europe,"Meat indigenous, goat",1968,113647
Europe,"Meat indigenous, goat",1969,113943
Europe,"Meat indigenous, goat",1970,111382
Europe,"Meat indigenous, goat",1971,110588
Europe,"Meat indigenous, goat",1972,107239
Europe,"Meat indigenous, goat",1973,105649
Europe,"Meat indigenous, goat",1974,112884
Europe,"Meat indigenous, goat",1975,112539
Europe,"Meat indigenous, goat",1976,115097
Europe,"Meat indigenous, goat",1977,118557
Europe,"Meat indigenous, goat",1978,123580
Europe,"Meat indigenous, goat",1979,107615
Europe,"Meat indigenous, goat",1980,116074
Europe,"Meat indigenous, goat",1981,122123
Europe,"Meat indigenous, goat",1982,119518
Europe,"Meat indigenous, goat",1983,122713
Europe,"Meat indigenous, goat",1984,130531
Europe,"Meat indigenous, goat",1985,123093
Europe,"Meat indigenous, goat",1986,126489
Europe,"Meat indigenous, goat",1987,132056
Europe,"Meat indigenous, goat",1988,136372
Europe,"Meat indigenous, goat",1989,128593
Europe,"Meat indigenous, goat",1990,138421
Europe,"Meat indigenous, goat",1991,132164
Europe,"Meat indigenous, goat",1992,135998
Europe,"Meat indigenous, goat",1993,141097
Europe,"Meat indigenous, goat",1994,140867
Europe,"Meat indigenous, goat",1995,131021
Europe,"Meat indigenous, goat",1996,136232
Europe,"Meat indigenous, goat",1997,131523
Europe,"Meat indigenous, goat",1998,132784
Europe,"Meat indigenous, goat",1999,133137
Europe,"Meat indigenous, goat",2000,125257
Europe,"Meat indigenous, goat",2001,121500
Europe,"Meat indigenous, goat",2002,123226
Europe,"Meat indigenous, goat",2003,128099
Europe,"Meat indigenous, goat",2004,137714
Europe,"Meat indigenous, goat",2005,133409
Europe,"Meat indigenous, goat",2006,127006
Europe,"Meat indigenous, goat",2007,129311
Europe,"Meat indigenous, goat",2008,126359
Europe,"Meat indigenous, goat",2009,127741
Europe,"Meat indigenous, goat",2010,130839
Europe,"Meat indigenous, goat",2011,126423
Europe,"Meat indigenous, goat",2012,122825
Europe,"Meat indigenous, goat",2013,113335
Europe,"Meat indigenous, pig",1961,14259679
Europe,"Meat indigenous, pig",1962,14745450
Europe,"Meat indigenous, pig",1963,14672931
Europe,"Meat indigenous, pig",1964,14094642
Europe,"Meat indigenous, pig",1965,16358940
Europe,"Meat indigenous, pig",1966,16499417
Europe,"Meat indigenous, pig",1967,16852294
Europe,"Meat indigenous, pig",1968,17194775
Europe,"Meat indigenous, pig",1969,17042089
Europe,"Meat indigenous, pig",1970,18085343
Europe,"Meat indigenous, pig",1971,19791276
Europe,"Meat indigenous, pig",1972,20650815
Europe,"Meat indigenous, pig",1973,20559784
Europe,"Meat indigenous, pig",1974,21949967
Europe,"Meat indigenous, pig",1975,22153358
Europe,"Meat indigenous, pig",1976,20613976
Europe,"Meat indigenous, pig",1977,22056111
Europe,"Meat indigenous, pig",1978,23423394
Europe,"Meat indigenous, pig",1979,24088223
Europe,"Meat indigenous, pig",1980,24388627
Europe,"Meat indigenous, pig",1981,24415368
Europe,"Meat indigenous, pig",1982,24448684
Europe,"Meat indigenous, pig",1983,25372669
Europe,"Meat indigenous, pig",1984,25990193
Europe,"Meat indigenous, pig",1985,26115053
Europe,"Meat indigenous, pig",1986,26763212
Europe,"Meat indigenous, pig",1987,27557514
Europe,"Meat indigenous, pig",1988,28537428
Europe,"Meat indigenous, pig",1989,28345818
Europe,"Meat indigenous, pig",1990,28540828
Europe,"Meat indigenous, pig",1991,27650719
Europe,"Meat indigenous, pig",1992,25973134
Europe,"Meat indigenous, pig",1993,25805424
Europe,"Meat indigenous, pig",1994,24961515
Europe,"Meat indigenous, pig",1995,24780356
Europe,"Meat indigenous, pig",1996,25178243
Europe,"Meat indigenous, pig",1997,24455062
Europe,"Meat indigenous, pig",1998,25778865
Europe,"Meat indigenous, pig",1999,26267683
Europe,"Meat indigenous, pig",2000,25435263
Europe,"Meat indigenous, pig",2001,24956267
Europe,"Meat indigenous, pig",2002,25342965
Europe,"Meat indigenous, pig",2003,25872605
Europe,"Meat indigenous, pig",2004,25365716
Europe,"Meat indigenous, pig",2005,25194688
Europe,"Meat indigenous, pig",2006,25157172
Europe,"Meat indigenous, pig",2007,26384083
Europe,"Meat indigenous, pig",2008,26305337
Europe,"Meat indigenous, pig",2009,25808876
Europe,"Meat indigenous, pig",2010,26939144
Europe,"Meat indigenous, pig",2011,26803633
Europe,"Meat indigenous, pig",2012,26476377
Europe,"Meat indigenous, pig",2013,26503812
Europe,"Meat indigenous, sheep",1961,1837590
Europe,"Meat indigenous, sheep",1962,1904745
Europe,"Meat indigenous, sheep",1963,1925351
Europe,"Meat indigenous, sheep",1964,1891380
Europe,"Meat indigenous, sheep",1965,1858003
Europe,"Meat indigenous, sheep",1966,1949820
Europe,"Meat indigenous, sheep",1967,1924548
Europe,"Meat indigenous, sheep",1968,1912843
Europe,"Meat indigenous, sheep",1969,1834560
Europe,"Meat indigenous, sheep",1970,1907682
Europe,"Meat indigenous, sheep",1971,1896640
Europe,"Meat indigenous, sheep",1972,1826632
Europe,"Meat indigenous, sheep",1973,1892082
Europe,"Meat indigenous, sheep",1974,1971345
Europe,"Meat indigenous, sheep",1975,1991070
Europe,"Meat indigenous, sheep",1976,1893045
Europe,"Meat indigenous, sheep",1977,1903744
Europe,"Meat indigenous, sheep",1978,1949827
Europe,"Meat indigenous, sheep",1979,1938279
Europe,"Meat indigenous, sheep",1980,2052751
Europe,"Meat indigenous, sheep",1981,2007464
Europe,"Meat indigenous, sheep",1982,1993205
Europe,"Meat indigenous, sheep",1983,2044854
Europe,"Meat indigenous, sheep",1984,2100032
Europe,"Meat indigenous, sheep",1985,2096165
Europe,"Meat indigenous, sheep",1986,2118901
Europe,"Meat indigenous, sheep",1987,2174257
Europe,"Meat indigenous, sheep",1988,2288911
Europe,"Meat indigenous, sheep",1989,2363755
Europe,"Meat indigenous, sheep",1990,2439172
Europe,"Meat indigenous, sheep",1991,2389659
Europe,"Meat indigenous, sheep",1992,1791527
Europe,"Meat indigenous, sheep",1993,1768307
Europe,"Meat indigenous, sheep",1994,1687336
Europe,"Meat indigenous, sheep",1995,1604182
Europe,"Meat indigenous, sheep",1996,1555959
Europe,"Meat indigenous, sheep",1997,1453601
Europe,"Meat indigenous, sheep",1998,1450785
Europe,"Meat indigenous, sheep",1999,1417327
Europe,"Meat indigenous, sheep",2000,1403341
Europe,"Meat indigenous, sheep",2001,1273144
Europe,"Meat indigenous, sheep",2002,1298711
Europe,"Meat indigenous, sheep",2003,1280442
Europe,"Meat indigenous, sheep",2004,1301466
Europe,"Meat indigenous, sheep",2005,1313126
Europe,"Meat indigenous, sheep",2006,1311965
Europe,"Meat indigenous, sheep",2007,1310080
Europe,"Meat indigenous, sheep",2008,1246003
Europe,"Meat indigenous, sheep",2009,1195162
Europe,"Meat indigenous, sheep",2010,1170324
Europe,"Meat indigenous, sheep",2011,1201659
Europe,"Meat indigenous, sheep",2012,1170986
Europe,"Meat indigenous, sheep",2013,1171358
Oceania,"Meat indigenous, cattle",1961,889217
Oceania,"Meat indigenous, cattle",1962,1096063
Oceania,"Meat indigenous, cattle",1963,1232893
Oceania,"Meat indigenous, cattle",1964,1299637
Oceania,"Meat indigenous, cattle",1965,1309263
Oceania,"Meat indigenous, cattle",1966,1245166
Oceania,"Meat indigenous, cattle",1967,1187619
Oceania,"Meat indigenous, cattle",1968,1257270
Oceania,"Meat indigenous, cattle",1969,1319564
Oceania,"Meat indigenous, cattle",1970,1409750
Oceania,"Meat indigenous, cattle",1971,1455027
Oceania,"Meat indigenous, cattle",1972,1588564
Oceania,"Meat indigenous, cattle",1973,1899420
Oceania,"Meat indigenous, cattle",1974,1744978
Oceania,"Meat indigenous, cattle",1975,2071630
Oceania,"Meat indigenous, cattle",1976,2489050
Oceania,"Meat indigenous, cattle",1977,2567694
Oceania,"Meat indigenous, cattle",1978,2772493
Oceania,"Meat indigenous, cattle",1979,2564781
Oceania,"Meat indigenous, cattle",1980,2089574
Oceania,"Meat indigenous, cattle",1981,2001523
Oceania,"Meat indigenous, cattle",1982,2131267
Oceania,"Meat indigenous, cattle",1983,2092532
Oceania,"Meat indigenous, cattle",1984,1813973
Oceania,"Meat indigenous, cattle",1985,1827562
Oceania,"Meat indigenous, cattle",1986,1904954
Oceania,"Meat indigenous, cattle",1987,2117898
Oceania,"Meat indigenous, cattle",1988,2207684
Oceania,"Meat indigenous, cattle",1989,2104183
Oceania,"Meat indigenous, cattle",1990,2199699
Oceania,"Meat indigenous, cattle",1991,2346171
Oceania,"Meat indigenous, cattle",1992,2377611
Oceania,"Meat indigenous, cattle",1993,2455135
Oceania,"Meat indigenous, cattle",1994,2441053
Oceania,"Meat indigenous, cattle",1995,2583862
Oceania,"Meat indigenous, cattle",1996,2655548
Oceania,"Meat indigenous, cattle",1997,2808256
Oceania,"Meat indigenous, cattle",1998,2822783
Oceania,"Meat indigenous, cattle",1999,2900726
Oceania,"Meat indigenous, cattle",2000,2788256
Oceania,"Meat indigenous, cattle",2001,2927820
Oceania,"Meat indigenous, cattle",2002,2856407
Oceania,"Meat indigenous, cattle",2003,2930853
Oceania,"Meat indigenous, cattle",2004,2922271
Oceania,"Meat indigenous, cattle",2005,2982974
Oceania,"Meat indigenous, cattle",2006,2903187
Oceania,"Meat indigenous, cattle",2007,3060686
Oceania,"Meat indigenous, cattle",2008,3003564
Oceania,"Meat indigenous, cattle",2009,3020031
Oceania,"Meat indigenous, cattle",2010,2990846
Oceania,"Meat indigenous, cattle",2011,2941654
Oceania,"Meat indigenous, cattle",2012,2924962
Oceania,"Meat indigenous, cattle",2013,3073341
Oceania,"Meat indigenous, chicken",1961,54493
Oceania,"Meat indigenous, chicken",1962,56657
Oceania,"Meat indigenous, chicken",1963,57081
Oceania,"Meat indigenous, chicken",1964,66760
Oceania,"Meat indigenous, chicken",1965,80582
Oceania,"Meat indigenous, chicken",1966,77120
Oceania,"Meat indigenous, chicken",1967,96235
Oceania,"Meat indigenous, chicken",1968,110941
Oceania,"Meat indigenous, chicken",1969,118009
Oceania,"Meat indigenous, chicken",1970,133622
Oceania,"Meat indigenous, chicken",1971,164271
Oceania,"Meat indigenous, chicken",1972,177436
Oceania,"Meat indigenous, chicken",1973,174649
Oceania,"Meat indigenous, chicken",1974,215575
Oceania,"Meat indigenous, chicken",1975,209500
Oceania,"Meat indigenous, chicken",1976,227724
Oceania,"Meat indigenous, chicken",1977,240780
Oceania,"Meat indigenous, chicken",1978,276849
Oceania,"Meat indigenous, chicken",1979,299470
Oceania,"Meat indigenous, chicken",1980,336419
Oceania,"Meat indigenous, chicken",1981,336401
Oceania,"Meat indigenous, chicken",1982,320394
Oceania,"Meat indigenous, chicken",1983,344045
Oceania,"Meat indigenous, chicken",1984,336806
Oceania,"Meat indigenous, chicken",1985,387880
Oceania,"Meat indigenous, chicken",1986,400992
Oceania,"Meat indigenous, chicken",1987,413385
Oceania,"Meat indigenous, chicken",1988,425291
Oceania,"Meat indigenous, chicken",1989,437394
Oceania,"Meat indigenous, chicken",1990,454400
Oceania,"Meat indigenous, chicken",1991,459527
Oceania,"Meat indigenous, chicken",1992,497176
Oceania,"Meat indigenous, chicken",1993,528577
Oceania,"Meat indigenous, chicken",1994,559618
Oceania,"Meat indigenous, chicken",1995,572832
Oceania,"Meat indigenous, chicken",1996,585935
Oceania,"Meat indigenous, chicken",1997,664557
Oceania,"Meat indigenous, chicken",1998,714675
Oceania,"Meat indigenous, chicken",1999,690645
Oceania,"Meat indigenous, chicken",2000,735735
Oceania,"Meat indigenous, chicken",2001,757968
Oceania,"Meat indigenous, chicken",2002,822821
Oceania,"Meat indigenous, chicken",2003,856529
Oceania,"Meat indigenous, chicken",2004,864545
Oceania,"Meat indigenous, chicken",2005,940395
Oceania,"Meat indigenous, chicken",2006,949273
Oceania,"Meat indigenous, chicken",2007,986729
Oceania,"Meat indigenous, chicken",2008,975267
Oceania,"Meat indigenous, chicken",2009,993376
Oceania,"Meat indigenous, chicken",2010,1052126
Oceania,"Meat indigenous, chicken",2011,1209629
Oceania,"Meat indigenous, chicken",2012,1237318
Oceania,"Meat indigenous, chicken",2013,1259268
Oceania,"Meat indigenous, goat",1961,1315
Oceania,"Meat indigenous, goat",1962,1275
Oceania,"Meat indigenous, goat",1963,1503
Oceania,"Meat indigenous, goat",1964,1542
Oceania,"Meat indigenous, goat",1965,1558
Oceania,"Meat indigenous, goat",1966,1529
Oceania,"Meat indigenous, goat",1967,1454
Oceania,"Meat indigenous, goat",1968,1505
Oceania,"Meat indigenous, goat",1969,1626
Oceania,"Meat indigenous, goat",1970,1585
Oceania,"Meat indigenous, goat",1971,2065
Oceania,"Meat indigenous, goat",1972,2104
Oceania,"Meat indigenous, goat",1973,2497
Oceania,"Meat indigenous, goat",1974,1918
Oceania,"Meat indigenous, goat",1975,2102
Oceania,"Meat indigenous, goat",1976,2248
Oceania,"Meat indigenous, goat",1977,1339
Oceania,"Meat indigenous, goat",1978,1443
Oceania,"Meat indigenous, goat",1979,1845
Oceania,"Meat indigenous, goat",1980,2005
Oceania,"Meat indigenous, goat",1981,1997
Oceania,"Meat indigenous, goat",1982,1955
Oceania,"Meat indigenous, goat",1983,2643
Oceania,"Meat indigenous, goat",1984,2130
Oceania,"Meat indigenous, goat",1985,2077
Oceania,"Meat indigenous, goat",1986,6664
Oceania,"Meat indigenous, goat",1987,7045
Oceania,"Meat indigenous, goat",1988,10558
Oceania,"Meat indigenous, goat",1989,11698
Oceania,"Meat indigenous, goat",1990,13108
Oceania,"Meat indigenous, goat",1991,15122
Oceania,"Meat indigenous, goat",1992,16569
Oceania,"Meat indigenous, goat",1993,15074
Oceania,"Meat indigenous, goat",1994,14676
Oceania,"Meat indigenous, goat",1995,13320
Oceania,"Meat indigenous, goat",1996,13690
Oceania,"Meat indigenous, goat",1997,14398
Oceania,"Meat indigenous, goat",1998,13569
Oceania,"Meat indigenous, goat",1999,12605
Oceania,"Meat indigenous, goat",2000,14345
Oceania,"Meat indigenous, goat",2001,16196
Oceania,"Meat indigenous, goat",2002,19980
Oceania,"Meat indigenous, goat",2003,18218
Oceania,"Meat indigenous, goat",2004,20743
Oceania,"Meat indigenous, goat",2005,23895
Oceania,"Meat indigenous, goat",2006,25937
Oceania,"Meat indigenous, goat",2007,21253
Oceania,"Meat indigenous, goat",2008,21847
Oceania,"Meat indigenous, goat",2009,29104
Oceania,"Meat indigenous, goat",2010,29958
Oceania,"Meat indigenous, goat",2011,28576
Oceania,"Meat indigenous, goat",2012,28761
Oceania,"Meat indigenous, goat",2013,28887
Oceania,"Meat indigenous, pig",1961,173857
Oceania,"Meat indigenous, pig",1962,187344
Oceania,"Meat indigenous, pig",1963,184487
Oceania,"Meat indigenous, pig",1964,186431
Oceania,"Meat indigenous, pig",1965,194021
Oceania,"Meat indigenous, pig",1966,201331
Oceania,"Meat indigenous, pig",1967,206641
Oceania,"Meat indigenous, pig",1968,215951
Oceania,"Meat indigenous, pig",1969,228836
Oceania,"Meat indigenous, pig",1970,244163
Oceania,"Meat indigenous, pig",1971,257176
Oceania,"Meat indigenous, pig",1972,267328
Oceania,"Meat indigenous, pig",1973,305428
Oceania,"Meat indigenous, pig",1974,280262
Oceania,"Meat indigenous, pig",1975,245742
Oceania,"Meat indigenous, pig",1976,245661
Oceania,"Meat indigenous, pig",1977,263977
Oceania,"Meat indigenous, pig",1978,278093
Oceania,"Meat indigenous, pig",1979,276384
Oceania,"Meat indigenous, pig",1980,297569
Oceania,"Meat indigenous, pig",1981,310343
Oceania,"Meat indigenous, pig",1982,314581
Oceania,"Meat indigenous, pig",1983,326522
Oceania,"Meat indigenous, pig",1984,344984
Oceania,"Meat indigenous, pig",1985,357955
Oceania,"Meat indigenous, pig",1986,368880
Oceania,"Meat indigenous, pig",1987,378525
Oceania,"Meat indigenous, pig",1988,394744
Oceania,"Meat indigenous, pig",1989,405815
Oceania,"Meat indigenous, pig",1990,414805
Oceania,"Meat indigenous, pig",1991,409838
Oceania,"Meat indigenous, pig",1992,439652
Oceania,"Meat indigenous, pig",1993,438845
Oceania,"Meat indigenous, pig",1994,459094
Oceania,"Meat indigenous, pig",1995,472762
Oceania,"Meat indigenous, pig",1996,455468
Oceania,"Meat indigenous, pig",1997,469150
Oceania,"Meat indigenous, pig",1998,495758
Oceania,"Meat indigenous, pig",1999,488489
Oceania,"Meat indigenous, pig",2000,489010
Oceania,"Meat indigenous, pig",2001,496496
Oceania,"Meat indigenous, pig",2002,542151
Oceania,"Meat indigenous, pig",2003,554053
Oceania,"Meat indigenous, pig",2004,535029
Oceania,"Meat indigenous, pig",2005,529440
Oceania,"Meat indigenous, pig",2006,525403
Oceania,"Meat indigenous, pig",2007,524070
Oceania,"Meat indigenous, pig",2008,503166
Oceania,"Meat indigenous, pig",2009,461439
Oceania,"Meat indigenous, pig",2010,478815
Oceania,"Meat indigenous, pig",2011,491243
Oceania,"Meat indigenous, pig",2012,498912
Oceania,"Meat indigenous, pig",2013,498323
Oceania,"Meat indigenous, sheep",1961,1044410
Oceania,"Meat indigenous, sheep",1962,1071837
Oceania,"Meat indigenous, sheep",1963,1068778
Oceania,"Meat indigenous, sheep",1964,1089355
Oceania,"Meat indigenous, sheep",1965,1076424
Oceania,"Meat indigenous, sheep",1966,1087544
Oceania,"Meat indigenous, sheep",1967,1115520
Oceania,"Meat indigenous, sheep",1968,1228555
Oceania,"Meat indigenous, sheep",1969,1241078
Oceania,"Meat indigenous, sheep",1970,1319834
Oceania,"Meat indigenous, sheep",1971,1403078
Oceania,"Meat indigenous, sheep",1972,1548813
Oceania,"Meat indigenous, sheep",1973,1286475
Oceania,"Meat indigenous, sheep",1974,987037
Oceania,"Meat indigenous, sheep",1975,1046019
Oceania,"Meat indigenous, sheep",1976,1135231
Oceania,"Meat indigenous, sheep",1977,1107003
Oceania,"Meat indigenous, sheep",1978,1086362
Oceania,"Meat indigenous, sheep",1979,1076819
Oceania,"Meat indigenous, sheep",1980,1219349
Oceania,"Meat indigenous, sheep",1981,1307443
Oceania,"Meat indigenous, sheep",1982,1241651
Oceania,"Meat indigenous, sheep",1983,1333121
Oceania,"Meat indigenous, sheep",1984,1246465
Oceania,"Meat indigenous, sheep",1985,1360842
Oceania,"Meat indigenous, sheep",1986,1310513
Oceania,"Meat indigenous, sheep",1987,1339769
Oceania,"Meat indigenous, sheep",1988,1336628
Oceania,"Meat indigenous, sheep",1989,1290826
Oceania,"Meat indigenous, sheep",1990,1253062
Oceania,"Meat indigenous, sheep",1991,1311843
Oceania,"Meat indigenous, sheep",1992,1333375
Oceania,"Meat indigenous, sheep",1993,1247334
Oceania,"Meat indigenous, sheep",1994,1295339
Oceania,"Meat indigenous, sheep",1995,1276154
Oceania,"Meat indigenous, sheep",1996,1211947
Oceania,"Meat indigenous, sheep",1997,1215557
Oceania,"Meat indigenous, sheep",1998,1267767
Oceania,"Meat indigenous, sheep",1999,1248929
Oceania,"Meat indigenous, sheep",2000,1323852
Oceania,"Meat indigenous, sheep",2001,1416456
Oceania,"Meat indigenous, sheep",2002,1289300
Oceania,"Meat indigenous, sheep",2003,1239385
Oceania,"Meat indigenous, sheep",2004,1149488
Oceania,"Meat indigenous, sheep",2005,1225630
Oceania,"Meat indigenous, sheep",2006,1253897
Oceania,"Meat indigenous, sheep",2007,1334244
Oceania,"Meat indigenous, sheep",2008,1346644
Oceania,"Meat indigenous, sheep",2009,1186861
Oceania,"Meat indigenous, sheep",2010,1088923
Oceania,"Meat indigenous, sheep",2011,1031602
Oceania,"Meat indigenous, sheep",2012,1053760
Oceania,"Meat indigenous, sheep",2013,1152804
